scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-11-19,GH,C,FlatBase,99.55,105.27,5.43,16.2,15,,107.24,60,43.55,56.77,136.46,5.43,0.75,8.28,9.01,-2.46,11.75,True
2025-11-19,GLUE,B,Pennant,14.14,14.619,3.28,12.85,7,0.609,225.45,59,36.22,202.78,214.22,3.28,-4.38,13.08,22.07,11.95,31.97,True
2025-11-19,IDYA,C,FlatBase,33.13,34.61,4.28,16.67,17,0.803,48.1,57,16.57,32.52,56.13,4.28,0.09,8.3,8.69,0.39,8.69,True
2025-11-19,IMNM,C,Pennant,17.69,18.787,5.84,14.25,7,,94.88,39,10.15,77.79,95.25,5.84,-1.02,5.31,13.57,12.78,32.73,False
2025-11-19,IMPP,C,Pennant,6.28,6.4,1.87,13.75,6,,103.99,60,19.17,90.3,124.29,1.87,-7.8,-4.46,-26.75,-39.49,1.11,False
2025-11-19,INBX,C,FlatBase,82.14,86.64,5.19,18.05,14,,287.75,59,189.63,199.78,533.8,5.19,-2.8,1.85,6.42,3.87,13.84,False
2025-11-19,INCY,C,HTF,101.32,109.28,7.28,8.22,6,,32.57,34,13.45,19.42,55.14,7.28,0.43,4.27,-0.85,-3.96,4.86,False
2025-11-19,INDV,B,VCP,32.6,32.705,0.32,10.14,12,,43.56,60,28.96,33.83,161.64,0.32,-2.55,2.7,6.13,9.02,12.27,True
2025-11-19,INSM,C,FlatBase,203.56,205.11,0.76,18.58,15,,77.69,59,27.13,51.31,183.98,0.76,-1.93,0.47,0.73,-18.18,3.86,True
2025-11-19,IRON,B,VCP,90.74,92.68,2.09,11.77,18,,57.09,56,8.42,51.36,90.11,5.43,-0.43,3.32,3.36,-0.33,3.71,True
2025-11-19,KNSA,C,FlatBase,42.16,42.3,0.33,16.78,19,,28.65,60,8.74,25.1,51.0,0.33,-1.59,0.9,-2.78,-0.38,1.3,True
2025-11-19,KRYS,B,HTF,204.1,212.98,4.17,9.61,12,,47.87,39,9.47,38.24,62.81,4.17,0.06,7.15,8.75,14.34,20.91,True
2025-11-19,KYMR,C,FlatBase,64.82,68.455,5.31,18.69,17,,64.41,55,12.22,53.38,50.29,5.31,-0.29,4.69,2.18,22.85,45.48,False
2025-11-19,LLY,B,HTF,1046.0504,1052.0201,0.57,6.34,6,,46.37,56,28.03,43.17,41.0,0.57,-0.6,5.22,-3.35,0.69,5.75,True
2025-11-19,NAMS,C,FlatBase,38.62,40.99,5.78,15.83,18,,69.36,60,6.44,57.83,104.01,6.87,-2.36,7.33,-7.17,-12.22,7.33,True
2025-11-19,NEOV,C,Pennant,5.16,5.25,1.71,11.62,6,0.833,39.71,49,23.15,47.43,59.26,16.64,-12.98,-23.06,-25.0,-32.56,-12.98,False
2025-11-19,NESR,C,FlatBase,13.97,14.5,3.66,18.33,16,,114.45,59,15.36,54.71,121.04,3.66,-4.15,0.21,5.37,3.72,7.02,False
2025-11-19,NTRA,C,FlatBase,218.35,220.53,0.99,17.38,19,,44.03,60,11.97,33.92,35.88,0.99,3.3,8.6,10.86,2.93,12.0,True
2025-11-19,PTCT,C,Pennant,75.6,77.455,2.39,12.63,11,,58.54,60,13.17,51.87,54.82,2.39,1.14,14.09,2.98,-1.34,14.09,True
2025-11-19,PTGX,C,Pennant,85.13,86.9,2.04,13.19,14,0.752,54.28,60,15.06,38.58,69.75,8.71,-1.09,5.8,2.58,0.78,12.01,True
2025-11-19,ROIV,A,HTF,20.34,21.33,4.64,6.33,6,0.798,83.16,56,12.25,69.64,82.09,4.73,-0.34,2.61,4.13,7.13,12.78,False
2025-11-19,RVMD,B,Pennant,70.53,71.62,1.52,11.34,6,,84.55,56,31.98,85.41,73.51,1.52,-0.92,10.0,11.27,7.7,13.51,True
2025-11-19,SYRE,C,FlatBase,24.3,25.07,3.07,15.66,17,0.676,66.26,30,8.63,41.77,57.79,19.91,-3.42,22.43,37.9,37.74,42.63,True
2025-11-19,TARS,B,FlatBase,77.11,78.76,2.09,17.09,19,0.783,70.17,60,12.87,33.36,75.85,2.09,-0.17,4.4,6.12,0.48,6.64,True
2025-11-19,TBPH,C,FlatBase,17.73,18.96,6.49,17.88,7,,38.16,58,25.39,28.48,59.01,6.49,0.96,12.58,5.47,2.54,14.5,True
2025-11-19,TCMD,B,Pennant,24.23,25.415,4.66,11.17,9,,100.81,60,62.07,84.26,144.99,4.66,-1.24,7.02,10.65,21.09,22.08,True
2025-11-19,TNGX,C,Pennant,8.285,8.74,5.21,14.3,7,,31.76,44,10.03,20.07,226.18,14.59,7.42,29.87,19.49,2.11,31.68,True
2025-11-19,TSEM,B,Pennant,98.53,106.74,7.69,11.94,6,,112.97,58,31.5,67.0,144.67,7.69,-7.02,5.0,16.79,18.43,30.86,False
2025-11-19,TVTX,B,Pennant,35.43,36.87,3.91,10.36,6,0.677,111.67,56,25.86,103.15,128.29,3.91,-1.98,2.34,-0.28,-2.65,2.34,False
2025-11-19,UPB,C,FlatBase,24.94,26.25,4.99,16.27,14,,63.19,60,18.03,49.34,133.96,7.29,0.08,12.27,11.23,19.73,19.73,True
2025-11-19,URGN,C,Pennant,25.27,25.6,1.29,11.33,6,,53.11,24,45.82,29.32,422.11,1.29,-1.7,16.42,-3.92,-14.05,16.42,True
2025-11-19,UTHR,C,FlatBase,476.54,485.32,1.81,15.71,19,0.848,52.38,60,11.81,56.06,46.41,1.81,-0.38,2.5,1.59,6.39,7.22,True
2025-11-19,VRDN,A,HTF,28.68,29.584,3.06,5.39,6,,62.49,60,29.95,54.53,105.3,3.06,2.75,10.6,13.18,10.18,15.17,True
2025-11-19,WBD,B,HTF,23.09,24.19,4.55,9.59,12,,109.65,60,8.66,90.04,130.9,4.55,-0.91,3.42,6.28,19.58,29.84,False
