scan_date,ticker,grade,pattern,price_at_scan,pivot_price,pct_from_pivot,base_depth_pct,base_duration_days,vol_contraction_ratio,prior_move_pct,prior_move_days,pct_1m,pct_3m,pct_6m,pct_from_52w_high,pct_1d,pct_5d,pct_10d,pct_20d,max_gain_pct,did_break_out
2025-12-15,AMAT,A,HTF,260.9445,275.7561,5.37,6.87,8,0.78,65.2,60,14.46,30.55,43.05,5.37,-0.93,-0.86,-0.5,15.55,17.59,False
2025-12-15,TER,A,HTF,194.6186,204.9143,5.02,6.41,6,,80.99,60,16.37,44.14,114.22,5.02,-1.24,1.29,1.01,18.23,18.23,False
2025-12-16,AMAT,A,HTF,258.5176,275.7561,6.25,7.53,9,0.782,65.2,60,15.2,29.11,41.96,6.25,-4.08,0.54,-0.71,23.27,23.27,False
2025-12-16,TER,A,HTF,192.2096,204.9143,6.2,7.74,7,,80.99,60,17.54,42.88,113.2,6.2,-3.68,3.23,0.66,18.41,19.71,False
2025-12-29,ALB,A,HTF,144.2227,151.7042,4.93,7.12,6,0.835,80.46,57,13.0,64.38,96.32,4.93,-1.78,9.39,22.34,27.49,34.31,True
2025-12-30,ALB,A,HTF,141.6591,151.7042,6.62,7.12,7,0.792,80.46,57,11.16,54.77,101.76,6.62,-0.4,13.77,25.03,27.24,36.74,True
2025-12-30,LITE,A,HTF,371.18,401.6,7.57,9.36,6,0.453,160.6,50,22.58,131.12,299.16,7.57,-0.7,5.85,-10.66,2.76,7.07,False
2025-12-30,SATS,A+,HTF,109.2,110.87,1.51,7.03,6,0.58,62.68,24,47.45,42.22,253.86,1.97,-0.46,2.71,20.05,3.9,20.05,True
2025-12-31,ALB,A+,HTF,141.0905,151.7042,7.0,7.48,6,0.511,81.48,59,12.16,56.71,98.46,7.0,1.76,11.93,22.86,20.64,37.29,True
2025-12-31,SATS,A+,HTF,108.7,110.87,1.96,7.03,7,0.576,62.68,24,46.83,44.59,263.42,2.41,3.2,7.59,13.66,4.16,20.6,True
2026-01-01,ALB,A+,HTF,141.0905,151.7042,7.0,7.48,6,0.511,81.48,59,12.16,56.71,98.46,7.0,1.76,11.93,22.86,20.64,37.29,True
2026-01-01,SATS,A+,HTF,108.7,110.87,1.96,7.03,7,0.576,62.68,24,46.83,44.59,263.42,2.41,3.2,7.59,13.66,4.16,20.6,True
2026-01-02,ALB,A+,HTF,143.5743,151.7042,5.36,7.48,6,0.57,83.72,60,21.17,57.45,107.29,5.36,1.53,12.06,13.28,14.59,34.91,True
2026-01-02,LITE,A+,HTF,386.11,401.6,3.86,9.36,6,0.442,164.63,52,17.77,136.75,293.43,3.86,-7.53,-8.98,-16.02,9.66,9.66,False
2026-01-02,SATS,A,HTF,112.18,112.69,0.45,8.53,8,0.609,62.68,24,50.58,47.12,278.99,0.45,-1.35,6.97,9.89,3.9,16.86,True
2026-01-05,ALB,A,HTF,145.7689,151.7042,3.91,7.48,7,0.613,83.72,60,17.08,51.89,109.3,3.91,8.23,15.88,18.07,16.77,32.88,True
2026-01-05,SATS,A,HTF,110.67,113.47,2.47,9.16,9,0.631,62.68,24,34.96,44.67,280.44,2.47,4.87,13.92,10.24,3.75,18.45,True
2026-01-12,TER,A,HTF,224.2662,229.564,2.31,7.78,6,,66.31,58,16.03,61.18,141.59,2.31,2.19,-0.17,6.5,35.89,38.18,True
2026-01-13,TER,A,HTF,229.1742,230.2237,0.46,7.68,6,,73.39,59,17.76,66.07,151.48,0.46,0.4,1.14,9.25,40.21,40.21,True
2026-01-14,TER,A,HTF,230.0938,231.0334,0.41,8.0,7,,73.39,59,19.71,65.5,155.79,0.41,-1.08,-0.46,9.42,35.12,39.65,True
2026-01-27,CVNA,A,VCP,95.544,97.378,1.88,11.61,10,0.677,61.49,45,10.19,56.59,34.61,1.88,-14.17,-14.1,-18.01,-29.9,-10.52,False
2026-01-27,FIX,A,HTF,1159.3231,1176.7972,1.48,7.29,6,0.566,43.6,60,22.06,20.53,68.28,1.48,0.75,4.27,9.42,25.01,26.56,True
